AudioOffset:2205
-
timing(0,54.50,4.00);
(7706,1);
(8807,1);
(10458,1);
(11009,1);
(11559,1);
(12110,1);
(13211,1);
(15412,1);
(16513,1);
(17614,1);
(19266,1);
(19816,1);
(20366,1);
(20917,1);
(21467,1);
(22018,1);
(24770,1);
(25321,1);
(26422,1);
(27522,1);
(29174,1);
(29724,1);
(30275,1);
(30825,1);
(31926,1);
(33577,1);
(34128,1);
(34678,1);
(35229,1);
(35779,1);
(36330,1);
(38532,1);
(39082,1);
(39633,1);
(40733,1);
(41834,1);
(44036,1);
(45137,1);
(46238,1);
(47339,1);
(48440,1);
(50091,1);
(50642,1);
(51192,1);
(51743,1);
(52844,1);
(55045,1);
(56146,1);
(57247,1);
(58899,1);
(59449,1);
(60000,1);
(60550,1);
(61100,1);
(61651,1);
(64403,1);
(64954,1);
(66055,1);
(67155,1);
(68807,1);
(69357,1);
(69908,1);
(70458,1);
(71559,1);
(73211,1);
(73761,1);
(74311,1);
(74862,1);
(75412,1);
(75963,1);
(78165,1);
(78715,1);
(79266,1);
(80366,1);
(81467,1);
(83669,1);
(84770,1);
(85871,1);
(86972,1);
(88073,1);
(89724,1);
(90275,1);
(90825,1);
(91376,1);
(92477,1);
(94678,1);
(95779,1);
(96880,1);
(98532,1);
(99082,1);
(99633,1);
(100183,1);
(100733,1);
(101284,1);
(102385,1);
(103486,1);
(104036,1);
(104587,1);
(105688,1);
(106788,1);
(108440,1);
(108990,1);
(109541,1);
(110091,1);
(111192,1);
(112844,1);
(113394,1);
(113944,1);
(114495,1);
(115045,1);
(115596,1);
(117798,1);
(118348,1);
(118899,1);
(120000,1);
(121100,1);
(123302,1);
(126605,1);
(127706,1);
(129357,1);
(129908,1);
(130458,1);
(131009,1);
(132110,1);
(134311,1);
(135412,1);
(136513,1);
(138165,1);
(138715,1);
(139266,1);
(139816,1);
(140366,1);
(140917,1);
(143119,1);
(143669,1);
(144220,1);
(145321,1);
(146422,1);
(147522,1);
(148073,1);
(148623,1);
(149174,1);
(149724,1);
(150825,1);
(152477,1);
(153027,1);
(153577,1);
(154128,1);
(154678,1);
(155229,1);
(157431,1);
(157981,1);
(158532,1);
(159633,1);
(160733,1);
(161834,1);
(162935,1);
(166238,1);
(167339,1);
(168990,1);
(169541,1);
(170091,1);
(170642,1);
(171743,1);
(175045,1);
(176146,1);
(177798,1);
(178348,1);
(178899,1);
(179449,1);
(180000,1);
(180550,1);
(181651,1);
(182752,1);
(183302,1);
(183853,1);
(184954,1);
(186055,1);
(187706,1);
(188256,1);
(188807,1);
(189357,1);
(190458,1);
(192110,1);
(192660,1);
(193211,1);
(193761,1);
(194311,1);
(194862,1);
(197064,1);
(197614,1);
(198165,1);
(200366,1);
(202568,1);
(203669,1);
(204770,1);
(205871,1);
(206422,1);
(206972,1);
(207935,1);
(208073,1);
(210275,1);
(210825,1);
(211376,1);
(212339,1);
(212477,1);
(213027,1);
(213577,1);
(214678,1);
(216330,1);
(216880,1);
(217431,1);
(217981,1);
(218807,1);
(219082,1);
(221284,1);
(222385,1);
(223486,1);
(224036,1);
(224587,1);
(225688,1);
(227889,1);
(228440,1);
(228990,1);
(230091,1);
(232293,1);
(232844,1);
(233394,1);
(233944,1);
(234495,1);
(235596,1);
(236697,1);
(237798,1);
(240000,1);
(242201,1);
(245504,1);
(246605,1);
(248807,1);
(249908,1);
(251009,1);
(251284,1);
(254311,1);
(255412,1);
(257064,1);
(257614,1);
(258165,1);
(258715,1);
(259266,1);
(259816,1);
(261467,1);
(262568,1);
(263119,1);
(264220,1);
(265321,1);
(266972,1);
(267522,1);
(268073,1);
(268623,1);
(269724,1);
(271376,1);
(271926,1);
(272477,1);
(273027,1);
(273578,1);
(274128,1);
(276330,1);
(276880,1);
(277431,1);
(278532,1);
(281834,1);
